[Time:       34] [Episode:      135 Length      146 Score:     3.5905] [RScore:     1.4711 RPPS:   306] [PPS:   307 TPS:    60] [NT:  4 NP:  5 NA: 64]
[Time:       34] [Episode:      136 Length       99 Score:     7.1326] [RScore:     1.5128 RPPS:   308] [PPS:   309 TPS:    60] [NT:  4 NP:  5 NA: 64]
[Time:       34] [Episode:      137 Length       58 Score:     5.8698] [RScore:     1.5446 RPPS:   308] [PPS:   309 TPS:    60] [NT:  4 NP:  5 NA: 64]
[Time:       35] [Episode:      138 Length       22 Score:     1.0851] [RScore:     1.5412 RPPS:   304] [PPS:   305 TPS:    60] [NT:  4 NP:  5 NA: 64]
[Time:       35] [Episode:      139 Length      190 Score:     7.7126] [RScore:     1.5856 RPPS:   308] [PPS:   309 TPS:    60] [NT:  4 NP:  5 NA: 64]
[Time:       35] [Episode:      140 Length       99 Score:    10.6341] [RScore:     1.6503 RPPS:   310] [PPS:   311 TPS:    60] [NT:  4 NP:  5 NA: 64]
[Time:       35] [Episode:      141 Length       75 Score:     7.5692] [RScore:     1.6922 RPPS:   311] [PPS:   312 TPS:    60] [NT:  4 NP:  5 NA: 64]
[Time:       36] [Episode:      142 Length      152 Score:    11.1315] [RScore:     1.7587 RPPS:   312] [PPS:   313 TPS:    60] [NT:  4 NP:  5 NA: 64]
[Time:       36] [Episode:      143 Length       24 Score:     0.5135] [RScore:     1.7500 RPPS:   312] [PPS:   313 TPS:    60] [NT:  4 NP:  5 NA: 64]
[Time:       36] [Episode:      144 Length       70 Score:     5.4176] [RScore:     1.7755 RPPS:   314] [PPS:   315 TPS:    60] [NT:  4 NP:  5 NA: 64]
[Time:       36] [Episode:      145 Length      107 Score:    11.5023] [RScore:     1.8426 RPPS:   316] [PPS:   317 TPS:    60] [NT:  4 NP:  5 NA: 64]
[Time:       36] [Episode:      146 Length       56 Score:     5.3200] [RScore:     1.8664 RPPS:   316] [PPS:   317 TPS:    60] [NT:  4 NP:  5 NA: 64]
[Time:       36] [Episode:      147 Length       72 Score:     6.7690] [RScore:     1.8997 RPPS:   315] [PPS:   316 TPS:    60] [NT:  4 NP:  5 NA: 64]
[Time:       36] [Episode:      148 Length       30 Score:     2.2670] [RScore:     1.9022 RPPS:   315] [PPS:   316 TPS:    60] [NT:  4 NP:  5 NA: 64]
[Time:       36] [Episode:      149 Length       56 Score:     4.6768] [RScore:     1.9208 RPPS:   316] [PPS:   317 TPS:    60] [NT:  4 NP:  5 NA: 64]
[Time:       37] [Episode:      150 Length       35 Score:     2.9618] [RScore:     1.9278 RPPS:   316] [PPS:   317 TPS:    60] [NT:  4 NP:  5 NA: 64]
[Time:       37] [Episode:      151 Length       30 Score:     1.9657] [RScore:     1.9280 RPPS:   315] [PPS:   316 TPS:    61] [NT:  4 NP:  5 NA: 64]
[Time:       37] [Episode:      152 Length       48 Score:     2.6913] [RScore:     1.9330 RPPS:   316] [PPS:   317 TPS:    61] [NT:  4 NP:  5 NA: 64]
[Time:       37] [Episode:      153 Length       58 Score:     3.9787] [RScore:     1.9464 RPPS:   316] [PPS:   317 TPS:    61] [NT:  4 NP:  5 NA: 64]
[Time:       37] [Episode:      154 Length       27 Score:     1.5520] [RScore:     1.9439 RPPS:   315] [PPS:   316 TPS:    61] [NT:  4 NP:  5 NA: 64]
